Species	Symbol	Ensembl	Family	Protein	Entrez_ID
Caenorhabditis_elegans	unc-130	WBGene00006853	Fork_head	C47G2.2.1;	174721
Caenorhabditis_elegans	ceh-76	WBGene00022395	Homeobox	Y97E10AM.1.1;	190815
Caenorhabditis_elegans	nhr-168	WBGene00008221	RXR-like	C50B6.8a.1;C50B6.8b.1;C50B6.8b.2;	353455
Caenorhabditis_elegans	F57C9.4	WBGene00019011	zf-C2H2	F57C9.4c.1;F57C9.4b.1;	172100
Caenorhabditis_elegans	ttx-3	WBGene00006654	Homeobox	C40H5.5b.1;C40H5.5a.1;	181357
Caenorhabditis_elegans	odd-2	WBGene00003846	zf-C2H2	C34H3.2.1;	183219
Caenorhabditis_elegans	nhr-22	WBGene00003621	ESR-like	K06A1.4.2;K06A1.4.1;	174066
Caenorhabditis_elegans	nhr-14	WBGene00003613	RXR-like	T01B10.4a.1;T01B10.4a.2;T01B10.4b.1;	181102
Caenorhabditis_elegans	unc-30	WBGene00006766	Homeobox	B0564.10a.1;B0564.10b.1;B0564.10c.1;B0564.10d.1;	178265
Caenorhabditis_elegans	ceh-13	WBGene00000437	Homeobox	R13A5.5.1;R13A5.5.2;	176069
Caenorhabditis_elegans	mnm-2	WBGene00003380	zf-C2H2	C10A4.8.1;	182489
Caenorhabditis_elegans	fkh-3	WBGene00001435	Fork_head	C29F7.4b.1;C29F7.4a.1;	181465
Caenorhabditis_elegans	nhr-4	WBGene00003603	RXR-like	F32B6.1.1;	177839
Caenorhabditis_elegans	Y53H1A.2	WBGene00013178	zf-C2H2	Y53H1A.2b.1;Y53H1A.2a.1;	173016
Caenorhabditis_elegans	ceh-79	WBGene00007749	Homeobox	C26E1.3.1;C26E1.3.2;	179809
Caenorhabditis_elegans	nhr-255	WBGene00014068	RXR-like	ZK678.2.1;	191392
Caenorhabditis_elegans	nfya-1	WBGene00011614	NF-YA	T08D10.1.1;	181368
Caenorhabditis_elegans	dmd-7	WBGene00019521	DM	K08B12.2a.1;K08B12.2b.1;	179012
Caenorhabditis_elegans	tbx-7	WBGene00006544	T-box	ZK328.8b.2;ZK328.8a.1;ZK328.8b.1;	260030
Caenorhabditis_elegans	hlh-15	WBGene00001959	bHLH	C43H6.8.1;	183427
Caenorhabditis_elegans	nhr-258	WBGene00016126	ESR-like	C26B2.4.1;	182927
Caenorhabditis_elegans	ceh-49	WBGene00017538	CUT	F17A9.6.1;	179001
Caenorhabditis_elegans	nhr-223	WBGene00012050	ESR-like	T26E4.8.1;	188934
Caenorhabditis_elegans	zip-2	WBGene00019327	TF_bZIP	K02F3.4.2;K02F3.4.1;	175240
Caenorhabditis_elegans	cey-4	WBGene00000475	CSD	Y39A1C.3.1;Y39A1C.3.2;	176516
Caenorhabditis_elegans	hlh-6	WBGene00001952	bHLH	T15H9.3.1;	188539
Caenorhabditis_elegans	nhr-233	WBGene00006471	ESR-like	Y32B12B.6.1;	189569
Caenorhabditis_elegans	lin-40	WBGene00003025	MYB	T27C4.4b.1;T27C4.4a.1;T27C4.4b.2;T27C4.4e.1;T27C4.4d.1;T27C4.4e.2;	178788
Caenorhabditis_elegans	ZK686.5	WBGene00022795	zf-C2H2	ZK686.5.1;	3565160
Caenorhabditis_elegans	nhr-100	WBGene00003690	ESR-like	C28D4.1.2;C28D4.1.1;	177806
Caenorhabditis_elegans	Y67H2A.10	WBGene00013465	zf-C2H2	Y67H2A.10a.1;Y67H2A.10b.1;	259340
Caenorhabditis_elegans	rnt-1	WBGene00004393	Runt	B0414.2.1;B0414.2.2;	172243
Caenorhabditis_elegans	mab-9	WBGene00003106	T-box	T27A1.6.1;	173441
Caenorhabditis_elegans	Y67D8B.2	WBGene00022062	ESR-like	Y67D8B.2.1;	190514
Caenorhabditis_elegans	cfi-1	WBGene00000476	ARID	T23D8.8.1;	188793
Caenorhabditis_elegans	tbx-33	WBGene00006552	T-box	Y66A7A.8.1;	190493
Caenorhabditis_elegans	ceh-30	WBGene00000451	Homeobox	C33D12.7.1;C33D12.7.2;	191620
Caenorhabditis_elegans	cky-1	WBGene00000521	bHLH	C15C8.2.1;	179743
Caenorhabditis_elegans	ceh-83	WBGene00018446	Homeobox	F45C12.15.2;F45C12.15.1;F45C12.15.3;	173541
Caenorhabditis_elegans	lim-7	WBGene00002989	Homeobox	C04F1.3.1;	172236
Caenorhabditis_elegans	T10B5.10	WBGene00020396	zf-BED	T10B5.10a.1;T10B5.10b.1;	178666
Caenorhabditis_elegans	nhr-149	WBGene00015397	RXR-like	C03G6.12a.1;C03G6.12b.1;	182174
Caenorhabditis_elegans	rcor-1	WBGene00022278	MYB	Y74C9A.4c.1;Y74C9A.4a.1;Y74C9A.4b.1;Y74C9A.4d.1;	171592
Caenorhabditis_elegans	ceh-5	WBGene00000430	Homeobox	C16C2.1.1;	191616
Caenorhabditis_elegans	tbx-40	WBGene00006559	T-box	Y73F8A.17.1;	190679
Caenorhabditis_elegans	ref-1	WBGene00004334	bHLH	T01E8.2.1;	174585
Caenorhabditis_elegans	C30G4.4	WBGene00016269	TSC22	C30G4.4m.1;C30G4.4p.1;C30G4.4s.6;C30G4.4q.2;C30G4.4d.1;C30G4.4b.1;C30G4.4l.2;C30G4.4g.1;C30G4.4q.3;C30G4.4r.2;C30G4.4n.1;C30G4.4j.2;C30G4.4s.1;C30G4.4r.3;C30G4.4c.1;C30G4.4r.1;C30G4.4s.3;C30G4.4l.1;C30G4.4s.5;C30G4.4s.2;C30G4.4p.2;C30G4.4q.1;C30G4.4o.1;C30G4.4n.2;C30G4.4h.1;C30G4.4k.1;C30G4.4e.1;C30G4.4i.1;C30G4.4f.1;C30G4.4a.1;C30G4.4s.4;C30G4.4j.1;	181746
Caenorhabditis_elegans	C46E10.8	WBGene00016712	zf-C2H2	C46E10.8.1;	173716
Caenorhabditis_elegans	ceh-43	WBGene00000463	Homeobox	C28A5.4b.1;C28A5.4a.1;	175581
Caenorhabditis_elegans	ceh-9	WBGene00000434	Homeobox	Y65B4BR.9.1;	267057
Caenorhabditis_elegans	nhr-70	WBGene00003660	RXR-like	Y51A2D.17.1;	180217
Caenorhabditis_elegans	ceh-89	WBGene00009231	Homeobox	F28H6.2a.1;	181523
Caenorhabditis_elegans	ceh-45	WBGene00022837	Homeobox	ZK993.1a.1;ZK993.1b.1;	171689
Caenorhabditis_elegans	swsn-1	WBGene00004203	MYB	Y113G7B.23b.2;Y113G7B.23a.1;Y113G7B.23c.1;Y113G7B.23d.2;Y113G7B.23f.1;Y113G7B.23b.1;Y113G7B.23e.1;Y113G7B.23d.1;	180324
Caenorhabditis_elegans	bed-3	WBGene00009133	zf-BED	F25H8.6.1;	184940
Caenorhabditis_elegans	swsn-7	WBGene00007433	ARID	C08B11.3b.1;C08B11.3a.1;	174286
Caenorhabditis_elegans	ceh-14	WBGene00000438	Homeobox	F46C8.5.1;	181012
Caenorhabditis_elegans	unc-86	WBGene00006818	Pou	C30A5.7a.1;C30A5.7b.1;	176157
Caenorhabditis_elegans	odd-1	WBGene00003845	zf-C2H2	B0280.4.1;	181893
Caenorhabditis_elegans	atf-7	WBGene00000223	TF_bZIP	C07G2.2d.1;C07G2.2c.1;C07G2.2c.2;C07G2.2a.1;C07G2.2b.1;	175587
Caenorhabditis_elegans	baz-2	WBGene00001470	MBD	ZK783.4.1;	176078
Caenorhabditis_elegans	nhr-78	WBGene00003668	ESR-like	F36A4.14.1;	191727
Caenorhabditis_elegans	dnj-11	WBGene00001029	MYB	F38A5.13.1;	177419
Caenorhabditis_elegans	unc-62	WBGene00006796	Homeobox	T28F12.2h.1;T28F12.2e.1;T28F12.2b.2;T28F12.2f.1;T28F12.2b.1;T28F12.2a.1;T28F12.2g.1;T28F12.2a.2;T28F12.2c.1;	178845
Caenorhabditis_elegans	hlh-1	WBGene00001948	bHLH	B0304.1c.1;B0304.1c.2;B0304.1b.1;B0304.1b.2;B0304.1a.1;	173788
Caenorhabditis_elegans	Y56A3A.28	WBGene00013240	zf-C2H2	Y56A3A.28.1;	176632
Caenorhabditis_elegans	tbx-11	WBGene00006547	T-box	F40H6.4.1;	185575
Caenorhabditis_elegans	sptf-2	WBGene00011926	zf-C2H2	T22C8.5.1;	188733
Caenorhabditis_elegans	nfi-1	WBGene00003592	MH1	ZK1290.4c.1;ZK1290.4a.1;ZK1290.4b.1;	174225
Caenorhabditis_elegans	med-2	WBGene00003181	zf-GATA	K04C2.6.1;	191706
Caenorhabditis_elegans	bed-1	WBGene00012674	zf-BED	Y39B6A.12a.1;Y39B6A.12b.1;	180257
Caenorhabditis_elegans	fkh-4	WBGene00001436	Fork_head	C29F7.5.1;	181466
Caenorhabditis_elegans	pha-4	WBGene00004013	Fork_head	F38A6.1c.1;F38A6.1b.1;F38A6.1a.1;	180357
Caenorhabditis_elegans	nhr-270	WBGene00020062	ESR-like	R13D11.8a.1;	187867
Caenorhabditis_elegans	sea-2	WBGene00004751	zf-C2H2	K10G6.3d.1;K10G6.3k.2;K10G6.3a.1;K10G6.3b.1;K10G6.3j.1;K10G6.3s.1;K10G6.3n.1;K10G6.3l.1;K10G6.3n.2;K10G6.3k.1;K10G6.3i.1;K10G6.3r.1;K10G6.3q.1;K10G6.3h.1;K10G6.3m.1;K10G6.3l.2;K10G6.3c.1;K10G6.3g.1;K10G6.3o.1;K10G6.3f.1;K10G6.3o.2;	173738
Caenorhabditis_elegans	pal-1	WBGene00003912	Homeobox	C38D4.6c.3;C38D4.6c.2;C38D4.6b.1;C38D4.6a.2;C38D4.6c.1;C38D4.6a.1;C38D4.6c.4;	175638
Caenorhabditis_elegans	daf-19	WBGene00000914	RFX	F33H1.1d.1;F33H1.1e.1;F33H1.1a.1;F33H1.1b.1;F33H1.1c.1;	174577
Caenorhabditis_elegans	nhr-153	WBGene00007546	RXR-like	C13C4.1.1;	182564
Caenorhabditis_elegans	egrh-1	WBGene00007772	zf-C2H2	C27C12.2.1;	181580
Caenorhabditis_elegans	aptf-1	WBGene00019424	AP-2	K06A1.1.1;	187043
Caenorhabditis_elegans	hnd-1	WBGene00001981	bHLH	C44C10.8.1;	183457
Caenorhabditis_elegans	Y55F3AM.14	WBGene00021931	zf-C2H2	Y55F3AM.14.1;Y55F3AM.14.2;	190310
Caenorhabditis_elegans	C41D11.3	WBGene00016562	CSRNP_N	C41D11.3c.2;C41D11.3d.2;C41D11.3c.1;C41D11.3a.1;C41D11.3b.1;C41D11.3d.1;C41D11.3b.2;	3565087
Caenorhabditis_elegans	atf-5	WBGene00000221	TF_bZIP	T04C10.4.2;T04C10.4.1;	181576
Caenorhabditis_elegans	pag-3	WBGene00003909	zf-C2H2	F45B8.4.1;	181588
Caenorhabditis_elegans	ada-2	WBGene00017967	MYB	F32A5.1b.1;F32A5.1a.1;	174194
Caenorhabditis_elegans	ceh-74	WBGene00013876	Homeobox	ZC376.4.1;	191149
Caenorhabditis_elegans	mbr-1	WBGene00011315	HTH	T01C1.2.1;	187937
Caenorhabditis_elegans	ceh-51	WBGene00013583	Homeobox	Y80D3A.3.1;	180233
Caenorhabditis_elegans	nhr-68	WBGene00003658	RXR-like	H12C20.3a.1;	179589
Caenorhabditis_elegans	pha-2	WBGene00004011	Homeobox	M6.3.1;	187454
Caenorhabditis_elegans	Y22D7AL.15	WBGene00021253	zf-LITAF-like	Y22D7AL.15.1;	189508
Caenorhabditis_elegans	ztf-27	WBGene00011661	zf-C2H2	T09F3.1.1;	188340
Caenorhabditis_elegans	sma-2	WBGene00004856	MH1	ZK370.2.2;ZK370.2.1;	176229
Caenorhabditis_elegans	Y37D8A.8	WBGene00012549	zf-LITAF-like	Y37D8A.8.1;	189616
Caenorhabditis_elegans	ceh-22	WBGene00000445	Homeobox	F29F11.5d.1;F29F11.5b.1;F29F11.5a.1;F29F11.5e.1;F29F11.5c.1;	179485
Caenorhabditis_elegans	dsc-1	WBGene00001096	Homeobox	C18B12.3.1;	181599
Caenorhabditis_elegans	nhr-283	WBGene00010186	THR-like	F57A10.6a.1;F57A10.6a.2;F57A10.6b.1;	3565118
Caenorhabditis_elegans	daf-8	WBGene00000904	MH1	R05D11.1.1;	187612
Caenorhabditis_elegans	let-526	WBGene00002717	ARID	C01G8.9a.1;C01G8.9d.1;C01G8.9c.2;C01G8.9c.1;	3565337
Caenorhabditis_elegans	unc-3	WBGene00006743	COE	Y16B4A.1.1;	181573
Caenorhabditis_elegans	ceh-32	WBGene00000453	Homeobox	W05E10.3.1;	179603
Caenorhabditis_elegans	nhr-60	WBGene00003650	RXR-like	F57A10.5.1;	180059
Caenorhabditis_elegans	tab-1	WBGene00006380	Homeobox	F31E8.3b.1;F31E8.3a.1;	185156
Caenorhabditis_elegans	daf-12	WBGene00000908	THR-like	F11A1.3c.1;F11A1.3b.1;F11A1.3a.1;F11A1.3d.1;	181263
Caenorhabditis_elegans	nhr-39	WBGene00018404	GCNF-like	F44A2.4.1;	185720
Caenorhabditis_elegans	ets-4	WBGene00017687	ETS	F22A3.1a.3;F22A3.1b.1;F22A3.1a.1;F22A3.1a.2;	180927
Caenorhabditis_elegans	crh-2	WBGene00016162	TF_bZIP	C27D6.4b.1;C27D6.4a.1;C27D6.4a.2;C27D6.4d.1;C27D6.4c.1;	259434
Caenorhabditis_elegans	sdc-1	WBGene00004745	zf-C2H2	F52E10.1.1;	181701
Caenorhabditis_elegans	dmd-3	WBGene00012832	DM	Y43F8C.10b.1;Y43F8C.10a.1;	189878
Caenorhabditis_elegans	nhr-64	WBGene00003654	RXR-like	C45E1.1c.1;C45E1.1b.1;C45E1.1a.2;C45E1.1a.1;	171884
Caenorhabditis_elegans	zip-3	WBGene00012330	TF_bZIP	W07G1.3.1;W07G1.3.2;	189280
Caenorhabditis_elegans	ztf-6	WBGene00012317	zf-C2H2	W06H12.1.1;	173014
Caenorhabditis_elegans	ceh-40	WBGene00000461	Homeobox	F17A2.5.1;	191624
Caenorhabditis_elegans	nhr-158	WBGene00015901	RXR-like	C17E7.6.1;	182731
Caenorhabditis_elegans	T18D3.7	WBGene00011824	TSC22	T18D3.7c.2;T18D3.7b.1;T18D3.7a.2;T18D3.7b.2;T18D3.7a.1;T18D3.7c.1;	188577
Caenorhabditis_elegans	elt-4	WBGene00001252	zf-GATA	C39B10.6a.1;	181249
Caenorhabditis_elegans	C08E8.1	WBGene00007437	zf-LITAF-like	C08E8.1.2;C08E8.1.1;	182406
Caenorhabditis_elegans	nhr-19	WBGene00003618	RXR-like	E02H1.7.1;	174512
Caenorhabditis_elegans	aptf-2	WBGene00013383	AP-2	Y62E10A.17b.1;Y62E10A.17a.1;	190458
Caenorhabditis_elegans	C16A3.4	WBGene00015809	zf-C2H2	C16A3.4.2;C16A3.4.1;	175905
Caenorhabditis_elegans	nhr-181	WBGene00018189	RXR-like	F38H12.3a.1;	185483
Caenorhabditis_elegans	flap-1	WBGene00018998	LRRFIP	F57B9.7b.1;F57B9.7a.1;	175964
Caenorhabditis_elegans	fkh-9	WBGene00001441	Fork_head	K03C7.2a.1;K03C7.2b.1;	180670
Caenorhabditis_elegans	Y41C4A.11	WBGene00012757	zf-LITAF-like	Y41C4A.11.1;	29991192
Caenorhabditis_elegans	maf-1	WBGene00077521	TF_bZIP	F45H11.6.1;	6418592
Caenorhabditis_elegans	dmd-6	WBGene00007058	DM	F13G11.1b.2;F13G11.1b.3;F13G11.1b.1;	178392
Caenorhabditis_elegans	F54F2.9	WBGene00018836	MYB	F54F2.9.1;	176241
Caenorhabditis_elegans	T13F2.2	WBGene00011743	PC4	T13F2.2.1;	188475
Caenorhabditis_elegans	tbx-2	WBGene00006543	T-box	F21H11.3.2;F21H11.3.1;	175698
Caenorhabditis_elegans	gei-13	WBGene00001570	zf-BED	F58A4.11.1;	176364
Caenorhabditis_elegans	lag-1	WBGene00002245	CSL	K08B4.1d.1;K08B4.1b.1;K08B4.1a.1;K08B4.1c.1;	177373
Caenorhabditis_elegans	nhr-167	WBGene00008208	RXR-like	C49F5.4.1;	183613
Caenorhabditis_elegans	efl-2	WBGene00001162	E2F	Y48C3A.17c.1;Y48C3A.17a.1;Y48C3A.17b.1;Y48C3A.17d.1;	174980
Caenorhabditis_elegans	npax-2	WBGene00018591	PAX	F48B9.5.1;	185967
Caenorhabditis_elegans	Y87G2A.18	WBGene00013604	zf-LITAF-like	Y87G2A.18.1;Y87G2A.18.2;	3564964
Caenorhabditis_elegans	unc-42	WBGene00006778	Homeobox	F58E6.10d.1;F58E6.10a.1;F58E6.10e.1;F58E6.10b.1;	192081
Caenorhabditis_elegans	nhr-197	WBGene00010602	THR-like	K06B4.7.1;	187055
Caenorhabditis_elegans	gei-17	WBGene00001574	zf-MIZ	W10D5.3a.2;W10D5.3c.2;W10D5.3a.3;W10D5.3e.4;W10D5.3g.2;W10D5.3g.1;W10D5.3d.1;W10D5.3f.3;W10D5.3a.4;W10D5.3f.4;W10D5.3f.2;W10D5.3f.1;W10D5.3a.1;W10D5.3c.3;W10D5.3e.3;W10D5.3e.2;W10D5.3c.1;W10D5.3e.1;	172733
Caenorhabditis_elegans	lsy-2	WBGene00003087	zf-C2H2	F49H12.1a.1;F49H12.1b.2;F49H12.1b.1;	180522
Caenorhabditis_elegans	ngn-1	WBGene00003595	bHLH	Y69A2AR.29.1;	177045
Caenorhabditis_elegans	nhr-5	WBGene00003604	ESR-like	Y73F8A.21c.1;Y73F8A.21a.1;	191717
Caenorhabditis_elegans	nhr-277	WBGene00022374	ESR-like	Y94H6A.1.1;	190799
Caenorhabditis_elegans	nhr-136	WBGene00003726	THR-like	C13C4.3b.1;C13C4.3a.1;	182566
Caenorhabditis_elegans	ccch-2	WBGene00009537	zf-CCCH	F38C2.5.1;	178454
Caenorhabditis_elegans	nhr-1	WBGene00003600	RXR-like	R09G11.2c.1;R09G11.2c.2;R09G11.2d.1;R09G11.2d.2;R09G11.2a.1;R09G11.2a.2;	181783
Caenorhabditis_elegans	tbx-36	WBGene00006555	T-box	ZK829.5.1;	191435
Caenorhabditis_elegans	ceh-48	WBGene00015934	CUT	C17H12.9.1;	182756
Caenorhabditis_elegans	hlh-12	WBGene00001956	bHLH	C28C12.8.1;	182980
Caenorhabditis_elegans	nhr-47	WBGene00003637	RXR-like	C24G6.4.1;	178933
Caenorhabditis_elegans	nhr-11	WBGene00003610	ESR-like	ZC410.1b.1;ZC410.1a.1;ZC410.1d.1;ZC410.1e.1;	177724
Caenorhabditis_elegans	hbl-1	WBGene00001824	zf-C2H2	F13D11.2b.1;F13D11.2a.1;	180848
Caenorhabditis_elegans	egl-5	WBGene00001174	Homeobox	C08C3.1c.1;C08C3.1b.1;C08C3.1a.1;	176093
Caenorhabditis_elegans	hmg-1.1	WBGene00001971	HMG	Y48B6A.14.1;Y48B6A.14.2;	175081
Caenorhabditis_elegans	ZK546.5	WBGene00022762	zf-C2H2	ZK546.5.1;	173850
Caenorhabditis_elegans	nhr-15	WBGene00003614	THR-like	F33E11.1a.1;	178558
Caenorhabditis_elegans	klf-1	WBGene00018990	zf-C2H2	F56F11.3.1;F56F11.3.2;	175404
Caenorhabditis_elegans	cep-1	WBGene00000467	Others	F52B5.5a.2;F52B5.5a.1;	172616
Caenorhabditis_elegans	ceh-36	WBGene00000457	Homeobox	C37E2.4.1;	181529
Caenorhabditis_elegans	arid-1	WBGene00044689	ARID	Y108G3AL.7c.1;Y108G3AL.7e.1;Y108G3AL.7b.1;Y108G3AL.7a.1;Y108G3AL.7d.1;Y108G3AL.7f.1;	4363100
Caenorhabditis_elegans	sta-2	WBGene00010251	STAT	F58E6.1.1;	3565291
Caenorhabditis_elegans	nhr-92	WBGene00003682	RXR-like	Y41D4B.8.1;	176971
Caenorhabditis_elegans	nhr-27	WBGene00008901	THR-like	F16H9.2a.1;F16H9.2b.1;	41656994
Caenorhabditis_elegans	C34B4.2	WBGene00007907	Fork_head	C34B4.2a.3;C34B4.2a.2;C34B4.2a.1;	179793
Caenorhabditis_elegans	svh-5	WBGene00006462	ETS	C33A11.4b.1;C33A11.4a.1;	181627
Caenorhabditis_elegans	cnd-1	WBGene00000561	bHLH	C34E10.7.1;	183212
Caenorhabditis_elegans	hlh-27	WBGene00001966	bHLH	C17C3.10.1;	182719
Caenorhabditis_elegans	Y37D8A.26	WBGene00012561	zf-LITAF-like	Y37D8A.26.1;	259541
Caenorhabditis_elegans	C17G10.13	WBGene00270322	THAP	C17G10.13.2;C17G10.13.1;	29991187
Caenorhabditis_elegans	sex-1	WBGene00004786	THR-like	F44A6.2.2;F44A6.2.1;	181231
Caenorhabditis_elegans	T20F7.1	WBGene00020630	zf-C2H2	T20F7.1.1;	181737
Caenorhabditis_elegans	nhr-28	WBGene00003624	RXR-like	C11G6.4b.1;C11G6.4a.1;C11G6.4b.2;	181705
Caenorhabditis_elegans	ceh-62	WBGene00011069	Homeobox	R06F6.6.1;	187642
Caenorhabditis_elegans	nhr-116	WBGene00003706	RXR-like	F09C6.9.1;	180129
Caenorhabditis_elegans	gmeb-1	WBGene00015285	SAND	C01B12.2.1;	182061
Caenorhabditis_elegans	hmg-3	WBGene00001973	HMG	C32F10.5.1;	172250
Caenorhabditis_elegans	ztf-7	WBGene00009772	zf-C2H2	F46B6.7.1;F46B6.7.2;	179375
Caenorhabditis_elegans	nhr-282	WBGene00010017	ESR-like	F54B8.2.1;	186200
Caenorhabditis_elegans	elf-1	WBGene00016029	ETS	C24A1.2b.1;C24A1.2a.2;C24A1.2a.1;C24A1.2b.2;	175226
Caenorhabditis_elegans	scrt-1	WBGene00016948	zf-C2H2	C55C2.1.1;	183848
Caenorhabditis_elegans	klf-2	WBGene00009998	zf-C2H2	F53F8.1.1;	186179
Caenorhabditis_elegans	sox-3	WBGene00004950	HMG	F40E10.2.1;	185534
Caenorhabditis_elegans	ceh-27	WBGene00000449	Homeobox	F46F3.1b.1;F46F3.1a.1;	185853
Caenorhabditis_elegans	daf-3	WBGene00000899	MH1	F25E2.5g.1;F25E2.5c.1;F25E2.5d.1;F25E2.5h.2;F25E2.5a.1;F25E2.5h.1;F25E2.5g.2;F25E2.5b.1;F25E2.5e.1;F25E2.5f.1;	180431
Caenorhabditis_elegans	nhr-35	WBGene00003628	RXR-like	C07A12.3b.3;C07A12.3a.1;C07A12.3b.1;C07A12.3b.2;	180725
Caenorhabditis_elegans	nhr-101	WBGene00003691	RXR-like	H12C20.6a.1;	179588
Caenorhabditis_elegans	mls-2	WBGene00003377	Homeobox	C39E6.4.1;	180751
Caenorhabditis_elegans	ceh-19	WBGene00000442	Homeobox	F20D12.6b.1;F20D12.6a.1;	177590
Caenorhabditis_elegans	T03G11.3	WBGene00020196	zf-C2H2	T03G11.3.1;	188032
Caenorhabditis_elegans	klu-1	WBGene00013970	zf-C2H2	ZK337.2.1;	173366
Caenorhabditis_elegans	ceh-63	WBGene00045215	Homeobox	C02F12.10a.1;	6418830
Caenorhabditis_elegans	ceh-99	WBGene00044032	Homeobox	T21B4.17.1;	188680
Caenorhabditis_elegans	myrf-1	WBGene00004134	NDT80_PhoG	F59B10.1.1;	174614
Caenorhabditis_elegans	lin-15B	WBGene00023497	THAP	ZK662.4.2;ZK662.4.1;	181662
Caenorhabditis_elegans	nhr-171	WBGene00016926	ESR-like	C54F6.8.1;	183807
Caenorhabditis_elegans	cdc-5L	WBGene00008386	MYB	D1081.8.1;	172639
Caenorhabditis_elegans	gmeb-2	WBGene00010010	SAND	F53H4.5.1;	181676
Caenorhabditis_elegans	mml-1	WBGene00003378	bHLH	T20B12.6b.1;T20B12.6a.1;	176050
Caenorhabditis_elegans	ceh-6	WBGene00000431	Pou	K02B12.1.1;	172640
Caenorhabditis_elegans	dmd-4	WBGene00007776	DM	C27C12.6.1;	181581
Caenorhabditis_elegans	nhr-34	WBGene00003627	RXR-like	F58G6.5c.1;F58G6.5b.1;F58G6.5d.1;F58G6.5a.1;	177800
